County,Agency Name, 2021 Population Estimate,Violent Crime Year to Date,Violent Crime Annual Rate,Property Crime Year to Date,Property Crime Annual Rate,Other Crime Year to Date,Other Crime Annual Rate,2021 Q1,2021 Q2,2021 Q3,2021 Q4,Year to Date,Annual Rate,2021 Q1.1,2021 Q2.1,2021 Q3.1,2021 Q4.1,Year to Date.1,Annual Rate.1,2021 Q1.2,2021 Q2.2,2021 Q3.2,2021 Q4.2,Year to Date.2,Annual Rate.2,2021 Q1.3,2021 Q2.3,2021 Q3.3,2021 Q4.3,Year to Date.3,Annual Rate.3,2021 Q1.4,2021 Q2.4,2021 Q3.4,2021 Q4.4,Year to Date.4,Annual Rate.4,2021 Q1.5,2021 Q2.5,2021 Q3.5,2021 Q4.5,Year to Date.5,Annual Rate.5,2021 Q1.6,2021 Q2.6,2021 Q3.6,2021 Q4.6,Year to Date.6,Annual Rate.6,2021 Q1.7,2021 Q2.7,2021 Q3.7,2021 Q4.7,Year to Date.7,Annual Rate.7,2021 Q1.8,2021 Q2.8,2021 Q3.8,2021 Q4.8,Year to Date.8,Annual Rate.8,2021 Q1.9,2021 Q2.9,2021 Q3.9,2021 Q4.9,Year to Date.9,Annual Rate.9,2021 Q1.10,2021 Q2.10,2021 Q3.10,2021 Q4.10,Year to Date.10,Annual Rate.10,2021 Q1.11,2021 Q2.11,2021 Q3.11,2021 Q4.11,Year to Date.11,Annual Rate.11,2021 Q1.12,2021 Q2.12,2021 Q3.12,2021 Q4.12,Year to Date.12,Annual Rate.12,2021 Q1.13,2021 Q2.13,2021 Q3.13,2021 Q4.13,Year to Date.13,Annual Rate.13,2021 Q1.14,2021 Q2.14,2021 Q3.14,2021 Q4.14,Year to Date.14,Annual Rate.14,2021 Q1.15,2021 Q2.15,2021 Q3.15,2021 Q4.15,Year to Date.15,Annual Rate.15,2021 Q1.16,2021 Q2.16,2021 Q3.16,2021 Q4.16,Year to Date.16,Annual Rate.16,2021 Q1.17,2021 Q2.17,2021 Q3.17,2021 Q4.17,Year to Date.17,Annual Rate.17,2021 Q1.18,2021 Q2.18,2021 Q3.18,2021 Q4.18,Year to Date.18,Annual Rate.18,2021 Q1.19,2021 Q2.19,2021 Q3.19,2021 Q4.19,Year to Date.19,Annual Rate.19,2021 Q1.20,2021 Q2.20,2021 Q3.20,2021 Q4.20,Year to Date.20,Annual Rate.20,2021 Q1.21,2021 Q2.21,2021 Q3.21,2021 Q4.21,Year to Date.21,Annual Rate.21,2021 Q1.22,2021 Q2.22,2021 Q3.22,2021 Q4.22,Year to Date.22,Annual Rate.22,2021 Q1.23,2021 Q2.23,2021 Q3.23,2021 Q4.23,Year to Date.23,Annual Rate.23,2021 Q1.24,2021 Q2.24,2021 Q3.24,2021 Q4.24,Year to Date.24,Annual Rate.24,2021 Q1.25,2021 Q2.25,2021 Q3.25,2021 Q4.25,Year to Date.25,Annual Rate.25,2021 Q1.26,2021 Q2.26,2021 Q3.26,2021 Q4.26,Year to Date.26,Annual Rate.26,2021 Q1.27,2021 Q2.27,2021 Q3.27,2021 Q4.27,Year to Date.27,Annual Rate.27,2021 Q1.28,2021 Q2.28,2021 Q3.28,2021 Q4.28,Year to Date.28,Annual Rate.28,2021 Q1.29,2021 Q2.29,2021 Q3.29,2021 Q4.29,Year to Date.29,Annual Rate.29,2021 Q1.30,2021 Q2.30,2021 Q3.30,2021 Q4.30,Year to Date.30,Annual Rate.30,2021 Q1.31,2021 Q2.31,2021 Q3.31,2021 Q4.31,Year to Date.31,Annual Rate.31,2021 Q1.32,2021 Q2.32,2021 Q3.32,2021 Q4.32,Year to Date.32,Annual Rate.32,2021 Q1.33,2021 Q2.33,2021 Q3.33,2021 Q4.33,Year to Date.33,Annual Rate.33,2021 Q1.34,2021 Q2.34,2021 Q3.34,2021 Q4.34,Year to Date.34,Annual Rate.34,2021 Q1.35,2021 Q2.35,2021 Q3.35,2021 Q4.35,Year to Date.35,Annual Rate.35,2021 Q1.36,2021 Q2.36,2021 Q3.36,2021 Q4.36,Year to Date.36,Annual Rate.36
Pinellas,Pinellas County Sheriff's Office,"278,239",500.0,179.7,"2,553",917.6,"5,044",1812.8,0.0,0.0,0.0,1.0,1.0,0.4,26.0,15.0,19.0,25.0,85.0,30.5,22.0,13.0,9.0,5.0,49.0,17.6,97,103,89,76,365,131.2,68.0,103.0,81.0,63.0,315,113.2,0.0,3.0,2.0,1.0,6.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,46,35,45,62,188,67.6,178,183,171,164,696,250.1,55.0,49.0,43.0,49.0,196.0,70.4,60.0,70.0,71.0,61.0,262.0,94.2,0.0,0.0,2.0,0.0,2.0,0.7,147,185,166,171,669,240.4,64.0,52.0,50.0,53.0,219,78.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,4.0,11.0,4.0,438,450,498,490,"1,876",674.2,4.0,5.0,9.0,4.0,22.0,7.9,26.0,43.0,42.0,45.0,156,56.1,8.0,6.0,3.0,6.0,23.0,8.3,198,258,304,303,"1,063",382.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,6.0,3.0,32.0,11.5,315.0,271.0,238.0,234.0,"1,058",380.2,31.0,19.0,41.0,26.0,117.0,42.1,4.0,1.0,5.0,7.0,17.0,6.1,0.0,1.0,0.0,0.0,1.0,0.4,9.0,21.0,8.0,12.0,50.0,18.0,8.0,2.0,5.0,4.0,19.0,6.8,16,11,14,14,55,19.8,2.0,0.0,0.0,3.0,5.0,1.8,32.0,26.0,30.0,40.0,128,46.0,128.0,83.0,100.0,85.0,396.0,142.3,3.0,4.0,3.0,0.0,10.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,5.0,1.8
Pinellas,Redington Beaches Police Department,"1,372",1.0,72.9,13,947.5,19,1384.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,72.9,0.0,0.0,1.0,1.0,2,145.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,72.9,2,0,0,0,2,145.8,0.0,1.0,0.0,0.0,1.0,72.9,1.0,0.0,0.0,0.0,1.0,72.9,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,2,5,364.4,1.0,0.0,0.0,0.0,1,72.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2,0,5,364.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,72.9,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,1,6,437.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3,218.7,0.0,1.0,0.0,0.0,1.0,72.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0.0,3.0,218.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pinellas,Safety Harbor Police Department,"17,105",49.0,286.5,294,1718.8,569,3326.5,0.0,0.0,0.0,1.0,1.0,5.8,0.0,0.0,3.0,11.0,14.0,81.8,1.0,0.0,2.0,5.0,8.0,46.8,2,2,4,18,26,152.0,3.0,2.0,14.0,20.0,39,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,3,16,25,146.2,6,23,22,28,79,461.9,1.0,0.0,2.0,10.0,13.0,76.0,6.0,0.0,7.0,32.0,45.0,263.1,0.0,0.0,0.0,0.0,0.0,0.0,6,12,10,42,70,409.2,4.0,2.0,5.0,12.0,23,134.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,32,26,97,175,1023.1,0.0,0.0,1.0,0.0,1.0,5.8,4.0,3.0,4.0,10.0,21,122.8,0.0,0.0,0.0,3.0,3.0,17.5,5,9,16,83,113,660.6,0.0,0.0,0.0,1.0,1.0,5.8,0.0,0.0,1.0,2.0,3.0,17.5,22.0,17.0,22.0,94.0,155,906.2,2.0,2.0,5.0,9.0,18.0,105.2,1.0,2.0,1.0,3.0,7.0,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,11.7,0.0,0.0,1.0,2.0,3.0,17.5,1,2,0,7,10,58.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,9,52.6,9.0,8.0,11.0,16.0,44.0,257.2,2.0,0.0,0.0,0.0,2.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,11.7
Pinellas,South Pasadena Police Department,"5,359",5.0,93.3,64,1194.3,92,1716.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,3,5,93.3,2.0,0.0,1.0,1.0,4,74.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,3,4,19,354.5,6,0,10,2,18,335.9,5.0,1.0,0.0,0.0,6.0,112.0,2.0,1.0,0.0,1.0,4.0,74.6,0.0,0.0,0.0,0.0,0.0,0.0,2,5,2,2,11,205.3,0.0,0.0,2.0,0.0,2,37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,6,6,21,391.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,7,130.6,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,13,29,541.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18.7,8.0,8.0,2.0,6.0,24,447.8,0.0,2.0,0.0,1.0,3.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,18.7,2.0,2.0,1.0,1.0,6.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pinellas,St. Pete Beach Police Department,"8,867",21.0,236.8,148,1669.1,239,2695.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,1.0,12.0,135.3,0.0,2.0,0.0,1.0,3.0,33.8,2,0,2,2,6,67.7,5.0,5.0,3.0,3.0,16,180.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.3,4,6,5,2,17,191.7,6,10,2,7,25,281.9,0.0,2.0,1.0,1.0,4.0,45.1,4.0,3.0,3.0,1.0,11.0,124.1,0.0,0.0,0.0,0.0,0.0,0.0,9,23,20,9,61,687.9,0.0,3.0,6.0,4.0,13,146.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,31,21,30,112,1263.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3,33.8,0.0,1.0,0.0,0.0,1.0,11.3,10,9,7,18,44,496.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,22.6,16.0,10.0,10.0,12.0,48,541.3,2.0,1.0,1.0,1.0,5.0,56.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.3,2,2,0,2,6,67.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,22.6,5.0,4.0,4.0,2.0,15.0,169.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pinellas,Tarpon Springs Police Department,"25,359",46.0,181.4,334,1317.1,558,2200.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,5.0,13.0,51.3,1.0,3.0,1.0,5.0,10.0,39.4,11,2,8,2,23,90.7,2.0,9.0,11.0,9.0,31,122.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,7,11,11,50,197.2,28,29,8,7,72,283.9,4.0,6.0,8.0,7.0,25.0,98.6,6.0,4.0,4.0,0.0,14.0,55.2,0.0,0.0,0.0,0.0,0.0,0.0,21,30,32,31,114,449.5,7.0,9.0,6.0,6.0,28,110.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,19.7,52,77,38,56,223,879.4,2.0,2.0,1.0,0.0,5.0,19.7,6.0,2.0,3.0,6.0,17,67.0,1.0,1.0,0.0,0.0,2.0,7.9,54,51,29,27,161,634.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.9,34.0,15.0,24.0,12.0,85,335.2,3.0,3.0,2.0,1.0,9.0,35.5,0.0,0.0,0.0,4.0,4.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1,5,0,1,7,27.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,3.0,15,59.2,5.0,6.0,6.0,4.0,21.0,82.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,7.9
Pinellas,Treasure Island Police Department,"6,570",19.0,289.2,129,1963.5,266,4048.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,15.2,3.0,0.0,0.0,1.0,4.0,60.9,1,3,5,5,14,213.1,1.0,2.0,3.0,2.0,8,121.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,15,5,34,517.5,7,5,3,1,16,243.5,1.0,0.0,0.0,0.0,1.0,15.2,3.0,2.0,1.0,4.0,10.0,152.2,0.0,0.0,0.0,1.0,1.0,15.2,13,15,15,10,53,806.7,1.0,0.0,2.0,3.0,6,91.3,0.0,0.0,1.0,0.0,1.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,47,62,36,32,177,2694.1,0.0,1.0,0.0,1.0,2.0,30.4,0.0,2.0,0.0,0.0,2,30.4,0.0,0.0,0.0,0.0,0.0,0.0,1,7,4,4,16,243.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,30.4,17.0,8.0,9.0,9.0,43,654.5,0.0,3.0,2.0,0.0,5.0,76.1,0.0,1.0,0.0,0.0,1.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,15.2,0.0,1.0,0.0,1.0,2.0,30.4,0,1,0,0,1,15.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,30.4,5.0,2.0,3.0,1.0,11.0,167.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarasota,Sarasota County Sheriff's Office,"277,128",409.0,147.6,"3,253",1173.8,"3,578",1291.1,1.0,2.0,1.0,1.0,5.0,1.8,6.0,7.0,10.0,11.0,34.0,12.3,12.0,20.0,9.0,16.0,57.0,20.6,84,61,82,86,313,112.9,104.0,105.0,82.0,89.0,380,137.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.7,128,127,156,164,575,207.5,155,199,118,163,635,229.1,35.0,40.0,42.0,41.0,158.0,57.0,95.0,98.0,76.0,107.0,376.0,135.7,0.0,0.0,0.0,0.0,0.0,0.0,252,174,174,235,835,301.3,101.0,71.0,50.0,70.0,292,105.4,0.0,0.0,0.0,1.0,1.0,0.4,0.0,1.0,1.0,0.0,2.0,0.7,288,330,328,351,"1,297",468.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,11.0,14.0,36,13.0,0.0,1.0,2.0,4.0,7.0,2.5,266,234,203,193,896,323.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,6.0,11.0,28.0,10.1,220.0,201.0,190.0,201.0,812,293.0,22.0,11.0,13.0,32.0,78.0,28.1,1.0,2.0,4.0,5.0,12.0,4.3,0.0,1.0,0.0,0.0,1.0,0.4,4.0,2.0,5.0,1.0,12.0,4.3,1.0,7.0,3.0,11.0,22.0,7.9,39,50,37,42,168,60.6,2.0,1.0,0.0,0.0,3.0,1.1,4.0,0.0,0.0,1.0,5,1.8,48.0,41.0,47.0,54.0,190.0,68.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,8.0,2.9
St. Johns,St. Johns County Sheriff's Office,"263,666",7.0,2.7,37,14.0,51,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.8,0.0,0.0,1.0,0.0,1.0,0.4,0,0,3,1,4,1.5,0.0,3.0,0.0,2.0,5,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,0.8,0,1,0,2,3,1.1,0.0,0.0,0.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,3,20,26,9.9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0,5,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.4,4,0,1,1,6,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,15.0,24,9.1,0.0,0.0,2.0,2.0,4.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,5,8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.4,0.0,0.0,1.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
